唛头,快递单号,品名,件数,实际计算重量,实际收款泰铢,发货日期,快递状态
666-鱼鱼,76965099439261,被子,1,4.666666667,466.6666667,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-ms速鲜威,321288067665620,日用品,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-冉冉,JDX057413033206,苹果手机,1,0.5,1000,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-冉冉,,保价费,,,750,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-大博,YT7637568074796,日用品,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-malc,9840034288231,药品,1,0.2,26,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-hjcb,777434503804425,食品,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-旺仔,79129953262065,日用品,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-荷花,9840052996536,棉签,1,0.3,30,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-ms速鲜威赵总,YT0062867060914,药品,1,0.4,52,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-秦淮,JT3173280690880,日用品,1,0.1,10,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-papa,YT0701396671021,包包,1,1.4,140,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-lucyy,79024715537732,衣物,1,0.7,70,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-CJDL,JT5514479970650,衣物,1,0.2,20,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-华北,73721335398626,食品,1,11.1,1110,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-guo,SF0216806473643,食品,1,2.7,270,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-cqc,SF5159111543032,食品,1,4.41,441,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-九思,SF0212286326999,日用品,1,3.822,382,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
无唛头,8466928458602,日用品,1,0.4,40,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
无唛头,YT7637503354341,鞋子,1,1.4,140,2026年8月12日,预计22号到达亚太，如遇周六周末码头休假延迟2天
666-殿殿,YT0063172822718,食品,1,1.3,130,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,YT0063340657016,手串,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,319393337743320,食品,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,319393535288817,食品,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025143968701,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,JT3173544825582,衣物,1,0.8,80,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025168081720,衣物,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025179908950,衣物,1,1,100,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,773436258068704,衣物,1,0.8,80,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,YT7637966774432,衣物,1,0.6,60,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,YT7637984792212,眼镜,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025221459759,袜子,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,773436265144705,日用品,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,YT7637973743078,日用品,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025208060876,衣物,1,0.4,40,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,773436278293356,衣物,1,0.4,40,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,YT8893628278820,衣物,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,435309473537315,鞋子,1,1.82,182,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,JT3173543035083,鞋子,1,1.6445,164.45,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,435309223287250,鞋子,1,1.7875,178.75,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,435309019767133,鞋子,1,1.573,157.3,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,773436317950015,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025135432608,衣物,1,1.2,120,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025168249699,衣物,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025172382312,衣物,1,1.4,140,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025176547633,衣物,1,0.6,60,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,JT3173550380759,衣物,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025139256212,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,YT7637761252889,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025134495950,衣物,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025205470860,衣物,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025162178894,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,YT7637990521507,衣物,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025160545356,衣物,1,0.9,90,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025162708053,衣物,1,0.4,40,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,JT3173567666826,衣物,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025169091942,衣物,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,73721677653258,衣物,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025163613182,衣物,1,0.4,40,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025223169942,衣物,1,0.8,80,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,JT3173538585383,衣物,1,1,100,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025214546968,衣物,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,YT7637983117122,衣物,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025135888316,衣物,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,773436280508249,衣物,1,1,100,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025158943426,鞋子,1,1.290666667,129.0666667,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025357199383,衣物,1,1.5,150,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025322355896,衣物,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025349664684,衣物,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025356186680,衣物,1,1,100,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,79025351106191,衣物,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,YT7637967406125,衣物,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,YT7637967406116,衣物,1,0.6,60,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-殿殿,YT7638126204213,衣物,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,YT8893332215560,手机壳,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,79130925346063,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,79130925948768,衣物,1,1,100,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,79130895700433,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,79130879840019,衣物,1,1.1,110,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,79130834756516,衣物,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,JT5515327728355,衣物,1,0.4,40,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,JT5514768057221,衣物,1,0.9,90,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,465587108499107,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,465587440034860,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,465587753218447,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,777435879007169,衣物,1,0.8,80,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,465587333442238,衣物,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,777435933497225,手机壳,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,YT8893330479566,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,YT8893346427498,衣物,1,0.6,60,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-艾米,YT8893330883356,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,79024971522998,日用品,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,435308105430490,衣物,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,435308077782962,日用品,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,YT7637979682546,衣物,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,79025001756316,衣物,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,JT3173443008705,护肤品,1,0.6,60,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,79025008967455,帽子,1,0.4,40,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,435308464476706,鞋子,1,0.6,60,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,JT3173522494570,假发,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,JT3173562582291,衣物,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,773436217257888,衣物,1,0.4,40,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,79025160945946,衣物,1,0.6,60,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,79025129868769,衣物,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,79025124001019,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,79025198071861,衣物,1,0.4,40,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,YT7638112372924,衣物,1,0.6,60,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-bpw,79024764070137,化妆品,1,1.3,130,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-bpw,YT7637676917932,粘毛器,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-bpw,YT7637744887970,鼠标垫,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-bpw,435307517865900,衣物,1,0.4,40,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-bpw,773436041840803,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-bpw,YT7637646619233,鼠标垫,1,0.4,40,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-csw,YT0063122110672,食品,1,1.863,186.3,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-csw,770338278086615,食品,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-csw,76965702221825,衣物,1,1.3,130,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-csw,770338225914203,食品,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-csw,YT0063357153365,热水壶,1,2.668,266.8,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-csw,321292475336623,食品,1,2.3375,233.75,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-gty,9818642204602,食品,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-gty,777434964696842,干燥剂,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-gty,777434909391497,食品,1,2.001,200.1,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-gty,YT8893682435355,食品,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-gty,79130266283376,食品,1,1.74,174,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-gty,YT8893908443243,食品,1,4.8,480,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-bxc,YT7637564300411,食品,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-bxc,JT3173420587179,衣物,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-bxc,JT3173420587168,衣物,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-bxc,JT3173420587180,衣物,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-bxc,773436226015794,被子,1,4.4,440,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-jian,JT2202397181684,衣物,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-jian,75964002978076,药品,1,0.1,13,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-jian,321292340737659,饰品,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-jian,76966169167696,日用品,1,0.4,40,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-jian,75964021631680,食品,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-安然,JD0255079526415,食品,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-安然,JD0255079783337,食品,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-安然,JD0255079883479,食品,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-安然,772075530893475,护肤品,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-安然,JD0255079592670,食品,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-ayla,79130173930789,食品,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-ayla,JT3173576868425,衣物,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-ayla,9840005167373,修眉刀,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-ayla,9818627108032,食品,1,1.782,178.2,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-giu,SF5154120725896,日用品,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-giu,JT3173068612813,抱枕,1,6.84,684,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-giu,JT3173550504755,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-giu,SF5154371678072,苹果手机,1,0.5,1000,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-giu,,保价费,,,1075,,
666-LIQA,YT8893694554798,洗面奶,1,0.8,80,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-LIQA,773436022459233,日用品,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-LIQA,KK300136851972,锅,1,6.358,635.8,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-LIQA,465578508538149,五金工具,1,4.3,430,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-小邓,SF1576621707136,三星手机,1,0.5,1000,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-小邓,JT0025140575370,日用品,1,0.6,60,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-小邓,YT8893666079865,衣物,1,0.6,60,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-小邓,JT5514371228124,五金配件,1,3.673333333,367.3333333,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
759801,DPK301916036844,配件,1,0.8,80,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
759801,YT2592365810914,调料,1,2.7,270,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
759801,79025114224729,日用品,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-cgw,79130278126102,食品,1,2.691666667,269.1666667,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-cgw,76966157003782,衣物,1,0.6,60,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-cgw,JT2202794429074,食品,1,1.1,110,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-laca,JT5514533782164,日用品,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-laca,9818621057097,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-laca,YT0701527236310,衣物,1,0.6,60,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-maike,YT0063317592087,日用品,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-maike,321290572919884,日用品,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-maike,JT2202471675876,日用品,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-冬季,79024868223268,腰带,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-冬季,773436148081551,衣物,1,0.4,40,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-冬季,79024883763686,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-ackk,79130708836273,手机壳,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-ackk,79130885163706,衣物,1,1,100,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-bqh,YT0063318527400,吹风机,1,1,100,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-bqh,321291999316473,香薰,1,1.6,160,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-cjdl,465577740438810,衣物,1,0.6,60,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-CJDL,777434247920843,日用品,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-mich,SF1540441790274,配件,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-mich,SF1574375201931,过滤器,1,3.1,310,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-mohh,79024907815961,干果,1,14.6,1606,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-mohh,79024906878410,干果,1,21.6,2376,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-tudo,JDVE18673215822,耳机,1,0.945,94.5,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-tudo,SF1222187583843,MP3,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-xbq,773436263934978,电饭煲,1,2.45,245,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-xbq,30224177770100010001,开关电源,1,9.3,930,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-xran,79024952241449,衣物,1,0.4,40,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-xran,SF1223169083981,衣物,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-ziyu,SF5154379615079,手机膜,1,1,100,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-ziyu,KY4001084906209,五金配件,1,99.12,9912,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-阿森,SF1223185734213,日用品,1,0.7,70,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-阿森,YT7637860127884,羽毛球,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-啊业,9822957362896,食品,1,1.4,140,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-啊业,79024846682277,食品,1,2.499,249.9,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-胖胖大码服装,9822949141033,鞋子,1,0.5,50,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-胖胖大码服装,773436067771074,鞋子,1,1.216,121.6,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-ylg,YT7637912892845,日用品,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-xm莫,9822951589219,日用品,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-蝎子,435307558820198,衣物,1,2.5,250,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-zgg,773436020326093,鞋子,1,1.796666667,180,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-冬瓜,SF1226171874925,茶叶,1,3.024,393,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-jack明,SF0212406521546,配件,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-娜娜,777434879452430,手机壳,1,0.1,10,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-大博,YT3450402932944,药品,1,1.216,159,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-musc,YT0702460326290,湿巾,1,1.8,180,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-ps,777435050650829,护肤品,1,0.6,60,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-陈九公,773435892481892,鞋子,1,0.6,60,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-ymj,YT0063462262521,洗护用品,1,0.3,30,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-wlee,79130659506256,衣物,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-琪琪,79130658864544,被子,1,1.3,130,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-秦淮,79025184419367,坐垫,1,3.337666667,334,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-xkxk,JT2202186921074,衣物,1,0.4,40,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-ms速鲜威赵总,SF0215546568034,空开,1,9.9,990,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-阿衡,SF0219016540699,干果,1,10.1,1313,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-qle,SF1464377622017,衣物,1,4.4,440,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-af007,73721523448392,茶叶,1,5.082,660,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-damo,79025480129436,衣物,1,0.4,40,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
666-moa,772075203272589,护肤品,1,1.341666667,134,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
无唛头,YT2546429287033,食品,1,0.2,20,2026年8月14日,预计24号到达亚太，如遇周六周末码头休假，延迟2天
