唛头,快递单号,品名,件数,实际计算重量,实际收款泰铢,发货日期,快递状态
666-wlee,9818617458108,日用品,1,0.1,10,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-wlee,465596800182676,衣物,1,0.2,20,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-冬季,JT5515164563137,衣物,1,0.4,40,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-冬季,773436541776393,泡脚桶,1,7.744,774.4,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-胖胖大码服装,435307249227808,鞋子,1,0.6,60,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-胖胖大码服装,9822941759157,鞋子,1,0.6,60,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-新哥,JD0255341718968,日用品,1,0.2,20,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-新哥,JD0255341640616,剃须刀,1,0.2,20,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-鱼鱼,76966767702705,食品,1,1.9,190,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-鱼鱼,76966765094053,食品,1,1.9,190,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-元吉,YT0702187910967,鞋子,1,1.848,184.8,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-元吉,YT0702187910754,鞋子,1,1.925,192.5,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-陈九公,773436475780116,鞋子,1,0.8,80,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-musc,YT0702465922862,蚊香液,1,0.4,40,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
759801,79025268732494,日用品,1,0.2,20,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-tudo,SF5111278905043,数据线,1,0.1,10,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-maike,YT0063103572808,鞋子,1,0.5,50,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-hwdd,YT7638359660022,衣物,1,0.4,40,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-超人,9822963388147,衣物,1,0.5,50,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-麦吉丽,SF5154317564020,护肤品,1,0.7,70,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-长歌,YT7637456796054,被子,1,2.6,260,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-LIQA,JT5515098020996,牙膏,1,1.3,130,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-jnj,YT7638486149719,药品,1,0.3,39,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-csw,YT7638366031035,耳机,1,0.1,10,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-bxc,79025733326618,支架,1,0.2,20,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-sxsy,73721932459508,手机膜,1,0.3,30,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-mph,76966616183708,食品,1,0.5,50,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-阿森,JT3173898441092,刷子,1,0.3,30,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-小良,79025665630380,日用品,1,0.2,20,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-damo,773436612749213,衣物,1,0.3,30,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-博文,435311043657120,杯子,1,1,100,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-春天,JT3173678028557,健身器材,1,4.7,470,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-啊忠,SF5118979246298,U盘,1,1.5,150,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-小魅,YT0702258160417,衣物,1,0.3,30,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-三只羊,1382926876781,调料,1,15.1,1510,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-炸串,JDX057537983881,干果,1,7,910,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-kfg,73722096667996,干果,1,40.6,4466,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
666-新哈喽,SF1464942281888,干果,1,13,1690,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
无唛头,YT7637853032050,衣物,1,0.5,50,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
无唛头,YT7638161326521,五金配件,1,2.8,280,2026年8月16日,预计26号到达亚太，如遇周六周末码头休假，延迟2天
,,,,,,,
